key		val
5009		5009
7015		7015
2038		2038
5040		5040
9055		9055
9073		9073
82		82
3098		3098
9098		9098
1101		1101
5102		5102
2109		2109
118		118
119		119
9132		9132
2140		2140
149		149
1151		1151
1159		1159
161		161
4171		4171
4183		4183
1208		1208
5251		5251
2274		2274
5282		5282
7299		7299
5303		5303
8305		8305
9316		9316
4345		4345
8378		8378
8396		8396
7417		7417
7420		7420
433		433
2440		2440
5462		5462
473		473
487		487
7520		7520
8525		8525
5560		5560
582		582
6584		6584
4585		4585
3594		3594
3595		3595
598		598
603		603
3605		3605
7617		7617
2623		2623
3629		3629
1642		1642
9644		9644
2652		2652
7659		7659
8678		8678
681		681
1681		1681
5685		5685
3705		3705
2708		2708
6713		6713
8742		8742
1743		1743
751		751
8756		8756
761		761
1763		1763
8768		8768
2780		2780
1783		1783
5796		5796
6802		6802
811		811
9829		9829
839		839
5845		5845
7863		7863
1866		1866
3877		3877
6893		6893
1895		1895
8896		8896
5903		5903
922		922
6923		6923
2944		2944
949		949
8954		8954
4959		4959
5960		5960
3962		3962
3971		3971
8986		8986
4993		4993
