key		val
82		82
118		118
119		119
149		149
161		161
433		433
473		473
487		487
582		582
598		598
603		603
681		681
751		751
761		761
811		811
839		839
922		922
949		949
1101		1101
1151		1151
1159		1159
1208		1208
1642		1642
1681		1681
1743		1743
1763		1763
1783		1783
1866		1866
1895		1895
2038		2038
2109		2109
2140		2140
2274		2274
2440		2440
2623		2623
2652		2652
2708		2708
2780		2780
2944		2944
3098		3098
3594		3594
3595		3595
3605		3605
3629		3629
3705		3705
3877		3877
3962		3962
3971		3971
4171		4171
4183		4183
4345		4345
4585		4585
4959		4959
4993		4993
5009		5009
5040		5040
5102		5102
5251		5251
5282		5282
5303		5303
5462		5462
5560		5560
5685		5685
5796		5796
5845		5845
5903		5903
5960		5960
6584		6584
6713		6713
6802		6802
6893		6893
6923		6923
7015		7015
7299		7299
7417		7417
7420		7420
7520		7520
7617		7617
7659		7659
7863		7863
8305		8305
8378		8378
8396		8396
8525		8525
8678		8678
8742		8742
8756		8756
8768		8768
8896		8896
8954		8954
8986		8986
9055		9055
9073		9073
9098		9098
9132		9132
9316		9316
9644		9644
9829		9829
