key		val
318		318
188		188
428		428
450		450
199		199
222		222
480		480
132		132
204		204
134		134
261		261
9		9
236		236
232		232
414		414
327		327
282		282
172		172
488		488
215		215
229		229
56		56
401		401
437		437
355		355
42		42
211		211
465		465
441		441
377		377
393		393
310		310
407		407
471		471
161		161
12		12
16		16
372		372
498		498
80		80
195		195
268		268
479		479
92		92
367		367
499		499
100		100
290		290
280		280
206		206
18824		18824
21833		21833
27756		27756
22140		22140
11731		11731
15209		15209
6983		6983
22392		22392
28277		28277
27137		27137
3142		3142
9072		9072
28149		28149
140		140
19394		19394
5347		5347
24099		24099
26027		26027
29098		29098
16536		16536
11003		11003
5752		5752
899		899
24465		24465
3276		3276
23		23
14252		14252
5435		5435
1434		1434
6031		6031
32231		32231
26087		26087
19904		19904
9176		9176
28949		28949
29053		29053
29657		29657
28214		28214
5697		5697
18031		18031
13281		13281
19653		19653
3296		3296
24813		24813
18840		18840
15188		15188
5207		5207
10840		10840
16935		16935
30326		30326
750		750
320		320
358		358
671		671
660		660
657		657
677		677
861		861
659		659
147		147
98		98
263		263
253		253
906		906
210		210
490		490
126		126
398		398
763		763
281		281
217		217
453		453
197		197
283		283
440		440
78		78
24		24
394		394
504		504
839		839
883		883
936		936
458		458
426		426
654		654
75		75
609		609
627		627
29		29
146		146
87		87
662		662
902		902
925		925
823		823
45		45
408		408
291		291
997		997
44		44
771		771
580		580
641		641
772		772
987		987
802		802
929		929
220		220
473		473
345		345
872		872
518		518
546		546
447		447
905		905
491		491
988		988
404		404
672		672
375		375
501		501
68		68
485		485
690		690
684		684
655		655
624		624
606		606
390		390
421		421
460		460
117		117
395		395
967		967
379		379
922		922
679		679
840		840
597		597
170		170
769		769
512		512
171		171
183		183
696		696
244		244
588		588
551		551
793		793
26		26
238		238
415		415
484		484
785		785
969		969
626		626
325		325
870		870
658		658
777		777
340		340
387		387
933		933
934		934
775		775
363		363
886		886
986		986
190		190
831		831
638		638
740		740
808		808
272		272
836		836
386		386
784		784
422		422
369		369
733		733
43		43
311		311
478		478
53		53
756		756
858		858
463		463
893		893
623		623
766		766
909		909
915		915
308		308
354		354
412		412
396		396
712		712
130		130
837		837
920		920
442		442
451		451
270		270
524		524
646		646
361		361
850		850
841		841
397		397
703		703
233		233
514		514
949		949
871		871
859		859
573		573
359		359
36		36
331		331
860		860
709		709
79		79
344		344
892		892
565		565
472		472
288		288
783		783
946		946
299		299
218		218
38		38
694		694
2		2
629		629
991		991
789		789
537		537
176		176
746		746
31		31
163		163
169		169
738		738
945		945
27		27
716		716
66		66
710		710
536		536
274		274
305		305
595		595
727		727
901		901
774		774
489		489
686		686
333		333
880		880
950		950
765		765
700		700
409		409
319		319
885		885
603		603
704		704
148		148
990		990
955		955
61		61
77		77
918		918
503		503
303		303
364		364
267		267
993		993
203		203
882		882
286		286
356		356
509		509
487		487
608		608
83		83
689		689
582		582
670		670
193		193
830		830
60		60
3		3
636		636
581		581
526		526
392		392
557		557
559		559
160		160
86		86
874		874
622		622
719		719
699		699
583		583
728		728
153		153
294		294
848		848
664		664
786		786
20		20
202		202
235		235
778		778
849		849
881		881
550		550
825		825
144		144
898		898
239		239
259		259
970		970
663		663
461		461
944		944
693		693
824		824
314		314
285		285
230		230
963		963
869		869
107		107
632		632
124		124
876		876
781		781
753		753
8		8
11		11
477		477
932		932
284		284
496		496
896		896
64		64
400		400
835		835
423		423
852		852
718		718
301		301
639		639
520		520
787		787
105		105
745		745
431		431
436		436
539		539
118		118
0		0
466		466
726		726
292		292
323		323
758		758
928		928
589		589
278		278
618		618
346		346
289		289
439		439
817		817
829		829
833		833
208		208
966		966
964		964
313		313
994		994
247		247
237		237
492		492
513		513
517		517
93		93
402		402
332		332
85		85
30		30
919		919
942		942
960		960
28		28
226		226
46		46
730		730
792		792
295		295
592		592
192		192
111		111
121		121
796		796
706		706
242		242
742		742
908		908
51		51
304		304
616		616
739		739
911		911
563		563
338		338
382		382
631		631
82		82
542		542
722		722
399		399
574		574
380		380
770		770
444		444
125		125
383		383
76		76
732		732
862		862
255		255
910		910
843		843
683		683
759		759
875		875
675		675
41		41
316		316
797		797
818		818
265		265
903		903
939		939
19		19
575		575
112		112
980		980
494		494
972		972
508		508
248		248
961		961
647		647
889		889
615		615
749		749
561		561
904		904
94		94
576		576
743		743
956		956
992		992
669		669
424		424
867		867
114		114
322		322
572		572
545		545
343		343
605		605
666		666
269		269
820		820
213		213
715		715
754		754
761		761
914		914
54		54
468		468
481		481
604		604
122		122
63		63
455		455
302		302
578		578
803		803
648		648
811		811
522		522
752		752
827		827
701		701
362		362
52		52
271		271
642		642
225		225
135		135
273		273
577		577
384		384
502		502
219		219
339		339
570		570
674		674
103		103
14		14
554		554
216		216
368		368
189		189
317		317
877		877
680		680
598		598
165		165
429		429
110		110
7		7
697		697
644		644
328		328
984		984
198		198
97		97
667		667
177		177
228		228
18		18
821		821
708		708
656		656
40		40
454		454
640		640
725		725
530		530
156		156
231		231
866		866
613		613
954		954
495		495
913		913
413		413
357		357
266		266
264		264
374		374
95		95
957		957
702		702
260		260
814		814
420		420
798		798
348		348
540		540
610		610
983		983
720		720
214		214
705		705
547		547
645		645
788		788
221		221
143		143
507		507
47		47
187		187
106		106
591		591
687		687
33		33
252		252
717		717
757		757
405		405
649		649
224		224
741		741
863		863
619		619
174		174
731		731
653		653
916		916
131		131
459		459
888		888
941		941
668		668
511		511
965		965
930		930
196		196
601		601
486		486
116		116
923		923
240		240
535		535
975		975
521		521
469		469
768		768
586		586
90		90
635		635
70		70
621		621
88		88
822		822
799		799
744		744
692		692
847		847
938		938
347		347
262		262
293		293
191		191
587		587
249		249
315		315
150		150
335		335
951		951
57		57
714		714
13		13
569		569
376		376
159		159
790		790
947		947
974		974
389		389
15		15
751		751
851		851
154		154
128		128
989		989
427		427
378		378
834		834
452		452
49		49
794		794
157		157
812		812
445		445
175		175
940		940
767		767
296		296
510		510
816		816
506		506
856		856
844		844
102		102
979		979
596		596
607		607
999		999
22		22
371		371
548		548
141		141
410		410
312		312
185		185
943		943
381		381
614		614
137		137
564		564
181		181
334		334
470		470
643		643
538		538
438		438
795		795
168		168
625		625
531		531
681		681
179		179
907		907
534		534
164		164
760		760
868		868
544		544
129		129
425		425
115		115
430		430
432		432
791		791
256		256
533		533
462		462
483		483
810		810
200		200
186		186
58		58
855		855
251		251
133		133
71		71
443		443
456		456
419		419
713		713
149		149
366		366
6		6
711		711
300		300
166		166
926		926
523		523
516		516
37		37
527		527
417		417
227		227
819		819
184		184
661		661
406		406
832		832
276		276
958		958
416		416
350		350
96		96
32		32
887		887
779		779
651		651
482		482
996		996
434		434
698		698
257		257
17		17
807		807
900		900
476		476
865		865
81		81
91		91
467		467
464		464
921		921
287		287
652		652
241		241
650		650
84		84
628		628
353		353
330		330
1		1
279		279
973		973
109		109
35		35
897		897
65		65
209		209
411		411
277		277
685		685
370		370
250		250
895		895
747		747
89		89
373		373
912		912
842		842
173		173
72		72
782		782
205		205
721		721
977		977
449		449
678		678
585		585
433		433
246		246
978		978
178		178
67		67
773		773
566		566
500		500
403		403
707		707
634		634
497		497
927		927
579		579
935		935
724		724
894		894
735		735
857		857
809		809
418		418
682		682
448		448
590		590
736		736
959		959
306		306
167		167
326		326
321		321
734		734
525		525
297		297
360		360
139		139
838		838
917		917
593		593
349		349
120		120
982		982
806		806
549		549
142		142
995		995
864		864
976		976
620		620
556		556
884		884
737		737
755		755
552		552
123		123
691		691
665		665
74		74
891		891
50		50
307		307
254		254
879		879
633		633
800		800
528		528
553		553
695		695
336		336
342		342
828		828
258		258
158		158
845		845
762		762
571		571
948		948
62		62
748		748
391		391
937		937
541		541
108		108
985		985
968		968
446		446
207		207
931		931
275		275
337		337
5		5
594		594
853		853
568		568
309		309
998		998
155		155
329		329
560		560
351		351
212		212
780		780
388		388
611		611
25		25
584		584
676		676
805		805
688		688
562		562
630		630
474		474
162		162
48		48
776		776
953		953
543		543
245		245
729		729
138		138
555		555
637		637
113		113
890		890
324		324
21		21
223		223
352		352
801		801
55		55
201		201
435		435
194		194
39		39
764		764
234		234
298		298
151		151
127		127
602		602
10		10
